16:44:35.176 [NamespaceSystem-akka.actor.default-dispatcher-4] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
16:44:35.291 [main] INFO com.firebase.server.forge.App$ - Listening at localhost:9000
17:24:47.189 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$1011966266:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:26:05.245 [FirebaseWorkerPool-1-4:fake-server$-1853265271:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:26:08.948 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$1069933003:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:28:43.821 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$-216826695:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:28:59.608 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$2032121285:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:31:40.533 [FirebaseWorkerPool-1-1:dimbybot-default-rtdb$-278444532:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:32:32.457 [FirebaseWorkerPool-1-2:dimbybot-default-rtdb$1843314488:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:32:33.956 [FirebaseWorkerPool-1-3:dimbybot-default-rtdb$-736723162:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:32:33.962 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$-1642550691:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:32:33.994 [FirebaseWorkerPool-1-1:dimbybot-default-rtdb$-237176970:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:33:02.961 [FirebaseWorkerPool-1-4:dimbybot-default-rtdb$-1148108023:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:33:02.965 [FirebaseWorkerPool-1-1:dimbybot-default-rtdb$1695581299:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:33:05.811 [FirebaseWorkerPool-1-2:dimbybot-default-rtdb$2025142297:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
17:33:08.353 [FirebaseWorkerPool-1-3:dimbybot-default-rtdb$-492495841:] WARN com.firebase.server.forge.App$ - Received service account token O65u...Hz5b, assuming ownership.
